,words,freq
0,produto,2081
1,notebook,1465
2,bem,1328
3,bom,1285
4,suporte,1044
5,fica,832
6,fácil,686
7,pouco,615
8,veio,577
9,torto,574
10,altura,504
11,recomendo,496
12,gostei,459
13,pra,445
14,ótimo,440
15,qualidade,423
16,estável,423
17,ser,388
18,prático,375
19,boa,369
20,chegou,352
21,simples,350
22,usar,341
23,excelente,337
24,material,330
25,resistente,323
26,cumpre,318
27,atendeu,304
28,estabilidade,300
29,porém,290
30,uso,288
31,super,280
32,ajustar,263
33,bastante,253
34,expectativas,251
35,mesa,251
36,achei,249
37,custo,247
38,pois,245
39,atende,243
40,parece,238
41,posição,233
42,ficar,231
43,meio,221
44,firme,211
45,melhor,210
46,ficou,209
47,outro,205
48,deixar,195
49,leve,193
50,teclado,193
51,ter,189
52,entrega,186
53,benefício,185
54,comprei,180
55,difícil,178
56,preço,178
57,computador,178
58,dobrar,171
59,ajuste,163
60,vale,162
61,pena,158
62,antes,157
63,ergonômico,155
64,compra,152
65,ergonomia,151
66,tempo,151
67,lado,151
68,nada,149
69,note,149
70,postura,148
71,espaço,147
72,tela,147
73,perfeito,146
74,pode,144
75,deixa,144
76,problema,144
77,promete,142
78,instável,139
79,dá,138
80,ainda,125
81,regulagem,123
82,útil,123
83,trabalho,122
84,além,122
85,montar,120
86,assim,120
87,regular,119
88,hastes,118
89,colocar,118
90,ótima,115
91,funciona,114
92,rápido,112
93,comprar,109
94,dia,108
95,frágil,107
96,forma,106
97,prazo,106
98,porque,103
99,tão,102
100,ajuda,102
101,qualquer,101
102,alto,100
103,pernas,99
104,funcional,99
105,perfeitamente,98
106,tudo,98
107,vezes,97
108,parte,96
109,laptop,96
110,então,96
111,função,94
112,lados,94
113,necessidade,93
114,vai,93
115,sempre,92
116,fique,91
117,todo,91
118,ruim,88
119,bambo,88
120,rápida,87
121,bonito,86
122,consegui,86
123,cima,86
124,pés,85
125,nao,85
126,certo,83
127,tanto,81
128,transportar,81
129,dois,80
130,necessidades,80
131,outra,79
132,peso,78
133,utilizar,77
134,defeito,77
135,ok,77
136,reto,76
137,empenado,76
138,lugar,76
139,ocupa,75
140,fazer,75
141,dias,75
142,faz,75
143,poderia,74
144,apenas,74
145,apoio,73
146,possui,72
147,mim,72
148,manter,72
149,base,71
150,ponto,70
151,geral,70
152,maior,69
153,home,69
154,office,69
155,manuseio,69
156,realmente,69
157,quanto,69
158,disso,67
159,precisa,67
160,consigo,67
161,exatamente,66
162,menos,66
163,ideal,66
164,levar,65
165,feito,64
166,amazon,64
167,ajustes,64
168,apesar,64
169,caso,64
170,acabamento,63
171,baixo,63
172,acho,63
173,embalado,62
174,outros,62
175,usando,62
176,adorei,61
177,barato,61
178,compacto,60
179,plástico,60
180,mouse,59
181,guardar,59
182,ajudou,59
183,alguns,59
184,manusear,58
185,totalmente,58
186,trabalhar,58
187,grande,58
188,confortável,58
189,problemas,58
190,esperava,57
191,dificuldade,57
192,polegadas,57
193,pequeno,56
194,custo-benefício,56
195,serve,56
196,pescoço,55
197,muita,55
198,vez,55
199,desnivelado,55
200,demais,54
201,sobre,54
202,agora,53
203,propõe,53
204,discreto,53
205,sei,53
206,sendo,53
207,vem,53
208,ferro,52
209,preciso,52
210,momento,52
211,nele,52
212,esperado,51
213,duas,51
214,tamanho,51
215,jeito,51
216,notebooks,51
217,valor,51
218,vc,51
219,amei,50
220,permite,50
221,pratico,50
222,dentro,50
223,segura,50
224,questão,49
225,tablet,49
226,olhos,49
227,pesado,49
228,possível,48
229,beneficio,48
230,todas,48
231,hora,48
232,achar,48
233,metal,48
234,melhorou,48
235,equipamento,48
236,alta,47
237,design,47
238,relação,47
239,propósito,47
240,indico,47
241,casa,46
242,dores,46
243,silicone,46
244,valeu,46
245,necessário,46
246,fiquei,46
247,alinhado,46
248,deu,45
249,algo,45
250,digitar,45
251,todos,45
252,conforme,44
253,deveria,44
254,conta,43
255,seguro,43
256,cair,43
257,facilidade,42
258,duro,42
259,durável,42
260,praticidade,42
261,algumas,42
262,recebi,42
263,certa,42
264,único,42
265,papel,41
266,quase,41
267,apoiado,41
268,péssimo,41
269,infelizmente,41
270,dar,41
271,ajustável,40
272,vou,40
273,segurança,40
274,após,40
275,acredito,40
276,quebrou,40
277,caixa,40
278,durabilidade,39
279,aqui,39
280,serviu,39
281,frente,39
282,vi,39
283,fato,39
284,coisa,39
285,suportes,39
286,perna,39
287,torta,38
288,certinho,38
289,encontrar,38
290,top,38
291,nenhum,38
292,direito,38
293,mochila,38
294,foto,38
295,modelo,37
296,diferentes,37
297,mesma,37
298,conseguir,37
299,ficava,37
300,satisfeita,37
301,portátil,37
302,correta,37
303,deixando,37
304,algum,37
305,pro,37
306,melhorar,37
307,toda,37
308,mexer,36
309,estrutura,36
310,montagem,36
311,quer,36
312,medo,36
313,pouquinho,36
314,mole,36
315,desse,36
316,sim,35
317,baixa,35
318,desejar,35
319,novamente,35
320,ficam,35
321,queria,35
322,descrição,35
323,onde,34
324,nível,34
325,aparentemente,34
326,usado,34
327,otimo,34
328,nivelado,34
329,talvez,34
330,haste,34
331,péssima,33
332,arrumar,33
333,aparenta,33
334,precisava,33
335,aquisição,33
336,coluna,33
337,pé,33
338,acaba,33
339,facil,33
340,borracha,33
341,diferença,32
342,monitor,32
343,superfície,32
344,melhora,32
345,utilização,32
346,consegue,32
347,opção,32
348,satisfeito,32
349,complicado,32
350,estabilizar,32
351,devolver,32
352,inclinação,31
353,construção,31
354,carregar,31
355,devolução,31
356,chato,31
357,horas,31
358,completamente,31
359,cuidado,31
360,meses,31
361,tipo,31
362,quebrado,31
363,várias,30
364,previsto,30
365,impossível,30
366,enquanto,30
367,nunca,30
368,facilmente,30
369,melhores,30
370,ventilação,30
371,dificil,30
372,entregue,29
373,primeiro,29
374,início,29
375,hoje,29
376,ver,29
377,vários,29
378,forte,29
379,partes,29
380,pq,29
381,frouxo,29
382,escorrega,29
383,primeira,28
384,objetivo,28
385,corretamente,28
386,durar,28
387,impressão,28
388,perfeita,28
389,compraria,28
390,junto,28
391,principalmente,28
392,apoios,28
393,ficasse,27
394,suporta,27
395,peça,27
396,força,27
397,prometido,27
398,comentários,27
399,tentei,27
400,certeza,27
401,igual,27
402,frouxa,27
403,começo,26
404,transporte,26
405,expectativa,26
406,muitas,26
407,fixo,26
408,borrachinhas,26
409,firmeza,26
410,deixá-lo,26
411,cada,26
412,pessoas,26
413,proposto,26
414,alinhar,26
415,investimento,25
416,sido,25
417,ficando,25
418,robusto,25
419,manual,25
420,adaptar,25
421,ajusta,25
422,aparelho,25
423,senti,25
424,superou,25
425,legal,25
426,mantém,25
427,coloca,25
428,balançando,25
429,segundo,25
430,si,25
431,deixou,25
432,precisar,25
433,logo,25
434,instabilidade,25
435,estar,25
436,modo,25
437,dobrável,25
438,aguenta,25
439,tranquilo,24
440,peças,24
441,regulável,24
442,borrachas,24
443,falta,24
444,dor,24
445,embalagem,24
446,fazendo,24
447,simplesmente,24
448,reclamar,24
449,conforto,24
450,dobra,24
451,ajustando,24
452,tentar,24
453,inclinado,24
454,deve,24
455,extremamente,24
456,semana,23
457,adequada,23
458,devido,23
459,novo,23
460,alguma,23
461,evitar,23
462,troca,23
463,durante,23
464,outras,23
465,sustenta,23
466,produtos,23
467,tentando,23
468,mto,23
469,ajustado,23
470,fraco,23
471,dobrado,23
472,montado,23
473,opções,23
474,posições,22
475,desliza,22
476,entanto,22
477,costas,22
478,negativo,22
479,horrível,22
480,menor,22
481,devolvi,22
482,apoiar,22
483,dell,22
484,solta,22
485,acertar,22
486,pc,22
487,abrir,22
488,coloco,22
489,equilíbrio,21
490,comprado,21
491,acabado,21
492,trabalha,21
493,usei,21
494,fiz,21
495,paciência,21
496,nenhuma,21
497,reais,21
498,perninhas,21
499,ângulo,20
500,lugares,20
501,ideia,20
502,ar,20
503,segurar,20
504,visão,20
505,encaixe,20
506,nesse,20
507,ja,20
508,incomoda,20
509,not,20
510,marca,20
511,desalinhado,20
512,dinheiro,20
513,bolsa,20
514,segunda,19
515,alturas,19
516,ergonômica,19
517,justo,19
518,mal,19
519,arrependi,19
520,cabe,19
521,demorei,19
522,única,19
523,chegar,19
524,passar,19
525,eficiente,19
526,anunciado,19
527,posicionar,19
528,estrelas,19
529,maneira,19
530,contato,19
531,entender,19
532,apresenta,19
533,desde,19
534,tá,19
535,embora,19
536,desnível,19
537,desmontar,18
538,preto,18
539,escorregando,18
540,livros,18
541,enfim,18
542,pintura,18
543,externo,18
544,dependendo,18
545,uns,18
546,encosta,18
547,próprio,18
548,acordo,18
549,minimalista,18
550,condições,18
551,pensei,18
552,podem,18
553,avaliações,18
554,porem,18
555,direitinho,18
556,bases,18
557,elevar,17
558,vendedor,17
559,fixa,17
560,encaixa,17
561,ambos,17
562,utilizando,17
563,finalidade,17
564,flexível,17
565,facilita,17
566,ajeitar,17
567,parabéns,17
568,atrapalhe,17
569,tranquilamente,17
570,apoia,17
571,entretanto,17
572,interessante,17
573,galho,17
574,nota,17
575,passa,17
576,calço,17
577,estado,17
578,pontos,17
579,razoável,17
580,acabei,17
581,colocando,17
582,estavel,17
583,macbook,17
584,mês,17
585,bamba,17
586,quiser,17
587,cabeça,17
588,digitação,16
589,clean,16
590,fio,16
591,posso,16
592,incrível,16
593,encaixar,16
594,pedi,16
595,coisas,16
596,usa,16
597,arranhar,16
598,fico,16
599,tortas,16
600,mínima,16
601,somente,16
602,nivelar,16
603,mercado,16
604,pequena,16
605,poder,16
606,vindo,16
607,atrapalha,16
608,aparência,15
609,parecer,15
610,descrito,15
611,dificulta,15
612,vir,15
613,forçar,15
614,muitos,15
615,versátil,15
616,desdobrar,15
617,ir,15
618,correios,15
619,desentortar,15
620,proposta,15
621,fim,15
622,compre,15
623,quesito,15
624,acessível,15
625,diferente,15
626,embaixo,15
627,caro,15
628,contrário,15
629,deste,15
630,minutos,15
631,funcionou,15
632,torno,15
633,encontrei,15
634,suficiente,15
635,contudo,15
636,risco,15
637,livro,15
638,inferior,15
639,tendo,15
640,vieram,15
641,sinto,15
642,tirando,15
643,tamanhos,15
644,firmes,15
645,estranho,14
646,cor,14
647,usuário,14
648,fabricação,14
649,falso,14
650,praticamente,14
651,elevado,14
652,resolver,14
653,anúncio,14
654,receio,14
655,extra,14
656,esquerdo,14
657,alinhamento,14
658,instalar,14
659,quebrar,14
660,acabou,14
661,básico,14
662,quebra,14
663,paguei,14
664,reta,14
665,diversas,14
666,posicionamento,14
667,trocar,14
668,atendendo,14
669,cai,14
670,torna,14
671,precisei,14
672,compro,14
673,comprem,14
674,balança,14
675,adapta,13
676,local,13
677,comecei,13
678,tempos,13
679,confiança,13
680,maiores,13
681,ipad,13
682,experiência,13
683,correto,13
684,caindo,13
685,percebi,13
686,surpreendeu,13
687,rígido,13
688,arrependo,13
689,modelos,13
690,detalhe,13
691,suportar,13
692,etc,13
693,aberto,13
694,encaixou,13
695,coloquei,13
696,portanto,13
697,manco,13
698,perde,13
699,falar,13
700,vista,13
701,notbook,13
702,simétrico,13
703,resto,13
704,fábrica,13
705,resistência,13
706,gostaria,13
707,presente,13
708,olhar,13
709,pesados,13
710,levemente,13
711,final,13
712,iguais,13
713,preta,12
714,demora,12
715,nivelamento,12
716,construído,12
717,instruções,12
718,ajustá-lo,12
719,espero,12
720,sair,12
721,empresa,12
722,braços,12
723,seguram,12
724,procurando,12
725,item,12
726,data,12
727,vida,12
728,recomendaria,12
729,creio,12
730,relativamente,12
731,semanas,12
732,possibilidade,12
733,oferece,12
734,causa,12
735,pessoa,12
736,aí,12
737,desejada,12
738,mexendo,12
739,compensa,12
740,colocado,12
741,deseja,12
742,parecia,12
743,lixo,12
744,visto,12
745,trava,12
746,maravilhoso,12
747,cumpriu,12
748,materiais,11
749,fechar,11
750,quero,11
751,superfícies,11
752,fixar,11
753,mão,11
754,dizer,11
755,lá,11
756,estudar,11
757,formas,11
758,estabiliza,11
759,adequado,11
760,mt,11
761,elevação,11
762,refrigeração,11
763,dificuldades,11
764,solto,11
765,evitando,11
766,direita,11
767,funcionando,11
768,adequadamente,11
769,inicialmente,11
770,gostando,11
771,aulas,11
772,simplicidade,11
773,so,11
774,resolveu,11
775,cadeira,11
776,ocupar,11
777,defeitos,11
778,pago,11
779,dessa,11
780,regulação,11
781,resolve,11
782,supriu,11
783,dando,11
784,sensação,11
785,equilibrar,11
786,fixação,11
787,testei,11
788,tablets,11
789,fino,11
790,gasto,11
791,feita,11
792,justamente,11
793,deslizando,11
794,inclusive,10
795,avaliar,10
796,pouca,10
797,iria,10
798,motivo,10
799,ajudar,10
800,ambiente,10
801,circulação,10
802,estudo,10
803,abri,10
804,utilizo,10
805,proteção,10
806,fita,10
807,atendido,10
808,direto,10
809,pedido,10
810,mecanismo,10
811,importante,10
812,importa,10
813,independente,10
814,vídeo,10
815,instalação,10
816,basta,10
817,escritório,10
818,maleável,10
819,comprando,10
820,normal,10
821,servindo,10
822,irregular,10
823,tortos,10
824,imaginava,10
825,prática,10
826,negócio,10
827,folgado,10
828,molenga,10
829,sozinho,10
830,folgada,10
831,mac,10
832,havia,10
833,adaptável,10
834,pequenos,10
835,chatinho,10
836,funcionalidade,9
837,parado,9
838,site,9
839,pezinhos,9
840,solução,9
841,comigo,9
842,adequa,9
843,irá,9
844,perder,9
845,eficaz,9
846,câmera,9
847,astes,9
848,fabricante,9
849,anos,9
850,evita,9
851,considerando,9
852,escorregar,9
853,avaliação,9
854,ano,9
855,precisando,9
856,tomar,9
857,demorou,9
858,tento,9
859,aconteceu,9
860,pendendo,9
861,cooler,9
862,assistir,9
863,abertura,9
864,dispositivo,9
865,constantemente,9
866,utilizado,9
867,olhando,9
868,reembolso,9
869,elegante,9
870,verdade,9
871,ai,9
872,gambiarra,9
873,testar,9
874,imagens,9
875,dou,9
876,essencial,9
877,saber,9
878,satisfatório,9
879,investir,9
880,ajudando,9
881,fez,9
882,ligeiramente,9
883,impede,9
884,grandes,9
885,fotos,9
886,frouxas,9
887,usá-lo,9
888,intuitivo,9
889,corresponde,9
890,dei,9
891,book,9
892,ajudam,9
893,resfriamento,9
894,proporciona,9
895,estabilizado,9
896,jogado,9
897,movimento,9
898,gastar,9
899,sustentação,9
900,incômodo,8
901,gosto,8
902,peguei,8
903,custo/benefício,8
904,aprovado,8
905,dificultando,8
906,utilidade,8
907,aquecimento,8
908,poderiam,8
909,volta,8
910,arranhões,8
911,traz,8
912,articulações,8
913,recomendado,8
914,leitura,8
915,sábado,8
916,poucos,8
917,possa,8
918,controle,8
919,gamer,8
920,visualização,8
921,linha,8
922,aço,8
923,pesa,8
924,li,8
925,lindo,8
926,claro,8
927,utilizá-lo,8
928,use,8
929,neste,8
930,movimentar,8
931,tirar,8
932,mudar,8
933,pessoal,8
934,trabalhando,8
935,reuniões,8
936,pontas,8
937,esquerda,8
938,encaixes,8
939,prejudica,8
940,regulagens,8
941,ângulos,8
942,loading,8
943,fragilidade,8
944,cervical,8
945,deveriam,8
946,compramos,8
947,tira,8
948,reclamação,8
949,funcionar,8
950,tal,8
951,envio,8
952,util,8
953,imagem,8
954,esbarrar,8
955,dúvida,8
956,leves,8
957,pior,8
958,facilitou,8
959,gostou,8
960,youtube,8
961,plastico,8
962,contar,8
963,confesso,8
964,leva,8
965,raiva,8
966,têm,8
967,perfeitas,8
968,fragil,8
969,plana,8
970,jogar,8
971,posicionado,7
972,comparado,7
973,requer,7
974,indicação,7
975,trás,7
976,regula,7
977,deixo,7
978,decepção,7
979,começou,7
980,ontem,7
981,alças,7
982,inclinada,7
983,espere,7
984,show,7
985,nessa,7
986,bancada,7
987,exemplo,7
988,amigos,7
989,compromete,7
990,rapidez,7
991,superaquecimento,7
992,plásticas,7
993,ia,7
994,marcas,7
995,configuração,7
996,sistema,7
997,realizei,7
998,alguém,7
999,receber,7
1000,imaginei,7
1001,cerca,7
1002,juntas,7
1003,toque,7
1004,usb,7
1005,vá,7
1006,ótimas,7
1007,continua,7
1008,principal,7
1009,boas,7
1010,mínimo,7
1011,positivo,7
1012,resolvi,7
1013,aberta,7
1014,travas,7
1015,umas,7
1016,articulado,7
1017,penso,7
1018,visual,7
1019,prender,7
1020,insegurança,7
1021,mundo,7
1022,falando,7
1023,faço,7
1024,faixa,7
1025,parecem,7
1026,padrão,7
1027,decepcionado,7
1028,pagar,7
1029,frouxos,7
1030,dê,7
1031,mover,7
1032,frete,7
1033,máximo,7
1034,prime,7
1035,proposito,7
1036,compatível,7
1037,ta,7
1038,joguei,7
1039,passei,7
1040,separado,7
1041,bacana,7
1042,desses,7
1043,aprender,7
1044,solicitei,7
1045,unidades,7
1046,filho,7
1047,compensar,7
1048,perninha,7
1049,possíveis,7
1050,resolvido,7
1051,bonita,7
1052,eleva,7
1053,folga,7
1054,visualmente,7
1055,ocupando,7
1056,dúvidas,7
1057,borrachinha,7
1058,espectativas,7
1059,princípio,7
1060,usabilidade,7
1061,notei,7
1062,mobilidade,7
1063,desconfortável,7
1064,vídeos,7
1065,elevada,7
1066,eh,7
1067,sentido,7
1068,tortinho,7
1069,consequentemente,7
1070,equilibrado,7
1071,diversos,7
1072,gente,7
1073,resistentes,6
1074,ferrinhos,6
1075,diz,6
1076,moro,6
1077,total,6
1078,dure,6
1079,sentir,6
1080,vantagem,6
1081,levá-lo,6
1082,suspenso,6
1083,necessita,6
1084,ergonomicamente,6
1085,filha,6
1086,estabelecido,6
1087,plenamente,6
1088,objeto,6
1089,sinceramente,6
1090,prevista,6
1091,mãos,6
1092,empenada,6
1093,má,6
1094,configurar,6
1095,transportado,6
1096,esperando,6
1097,online,6
1098,preso,6
1099,ficaria,6
1100,compras,6
1101,auxilia,6
1102,cm,6
1103,venha,6
1104,mantê-lo,6
1105,organização,6
1106,existe,6
1107,cumprir,6
1108,ferros,6
1109,acessório,6
1110,sugiro,6
1111,ajustei,6
1112,abaixo,6
1113,coube,6
1114,peca,6
1115,perfeccionista,6
1116,ah,6
1117,formato,6
1118,amassada,6
1119,aceitável,6
1120,moderno,6
1121,eficiência,6
1122,pensando,6
1123,claramente,6
1124,utilizei,6
1125,posiciona,6
1126,tornando,6
1127,certamente,6
1128,devolvido,6
1129,causando,6
1130,baixar,6
1131,ficará,6
1132,máquina,6
1133,aparente,6
1134,abre,6
1135,né,6
1136,tambem,6
1137,negativos,6
1138,varias,6
1139,deixava,6
1140,aconselho,6
1141,mexe,6
1142,armar,6
1143,proporcionar,6
1144,diariamente,6
1145,atenção,6
1146,air,6
1147,pudesse,6
1148,noite,6
1149,erro,6
1150,tente,6
1151,surpreendi,6
1152,diretamente,6
1153,acer,6
1154,medida,6
1155,principio,6
1156,mostra,6
1157,espera,6
1158,situação,6
1159,especificações,6
1160,desmonta,6
1161,pedaço,6
1162,dura,6
1163,curti,6
1164,obs,6
1165,entortou,6
1166,cumpri,6
1167,processo,6
1168,correspondeu,6
1169,realizar,6
1170,segurando,6
1171,presilhas,6
1172,olho,6
1173,danificar,6
1174,escrivaninha,6
1175,serem,6
1176,levantar,6
1177,faltou,6
1178,mantem,6
1179,moles,6
1180,comprometa,6
1181,jeitinho,6
1182,estáveis,6
1183,possibilidades,6
1184,indicado,6
1185,móvel,6
1186,rapido,6
1187,pegar,6
1188,regulado,6
1189,demanda,6
1190,armação,6
1191,tende,6
1192,encaixado,6
1193,manipular,6
1194,decepcionei,6
1195,corrigir,6
1196,computadores,6
1197,resultado,6
1198,endireitar,6
1199,desnivelamento,6
1200,mãe,6
1201,zero,6
1202,amassado,6
1203,sambando,6
1204,precise,6
1205,funcionamento,6
1206,queda,6
1207,acima,6
1208,borda,6
1209,caia,6
1210,comum,6
1211,caros,6
1212,pezinho,6
1213,mudando,6
1214,desnivelada,6
1215,tbm,6
1216,ficaram,6
1217,decepcionou,6
1218,fazem,5
1219,girar,5
1220,sólido,5
1221,cola,5
1222,entende,5
1223,descasca,5
1224,virar,5
1225,esquentar,5
1226,chata,5
1227,economiza,5
1228,portabilidade,5
1229,debaixo,5
1230,rapida,5
1231,esforço,5
1232,mandar,5
1233,sabe,5
1234,ganhei,5
1235,soltas,5
1236,termos,5
1237,acostumar,5
1238,atender,5
1239,possivelmente,5
1240,pandemia,5
1241,toma,5
1242,emborrachado,5
1243,internet,5
1244,especialmente,5
1245,antigo,5
1246,rosto,5
1247,agradece,5
1248,ajeitando,5
1249,apresentar,5
1250,deixei,5
1251,salvou,5
1252,conexões,5
1253,igualar,5
1254,mexo,5
1255,confuso,5
1256,caiu,5
1257,locais,5
1258,matéria,5
1259,cidade,5
1260,atrito,5
1261,regule,5
1262,manhã,5
1263,separados,5
1264,possuem,5
1265,estética,5
1266,setup,5
1267,externos,5
1268,forçando,5
1269,pensar,5
